# SiteID Element Label x y z
0 Li 54b 2.31223127 0.00000000 -0.81601887
1 Li 54b 2.31223127 0.00000000 4.16815080
2 Li 54b 2.31223127 0.00000000 9.15232046
3 Li 54b 2.31223127 8.48049433 -0.81601887
4 Li 54b 2.31223127 8.48049433 4.16815080
5 Li 54b 2.31223127 8.48049433 9.15232046
6 Li 54b 2.31223127 16.96098867 -0.81601887
7 Li 54b 2.31223127 16.96098867 4.16815080
8 Li 54b 2.31223127 16.96098867 9.15232046
9 Li 54b 6.93668457 0.00000000 -2.44805334
10 Li 54b 6.93668457 0.00000000 2.53611632
11 Li 54b 6.93668457 0.00000000 7.52028599
12 Li 54b 6.93668457 8.48049433 -2.44805334
13 Li 54b 6.93668457 8.48049433 2.53611632
14 Li 54b 6.93668457 8.48049433 7.52028599
15 Li 54b 6.93668457 16.96098867 -2.44805334
16 Li 54b 6.93668457 16.96098867 2.53611632
17 Li 54b 6.93668457 16.96098867 7.52028599
18 Li 54b 11.56113787 0.00000000 -4.08008782
19 Li 54b 11.56113787 0.00000000 0.90408185
20 Li 54b 11.56113787 0.00000000 5.88825151
21 Li 54b 11.56113787 8.48049433 -4.08008782
22 Li 54b 11.56113787 8.48049433 0.90408185
23 Li 54b 11.56113787 8.48049433 5.88825151
24 Li 54b 11.56113787 16.96098867 -4.08008782
25 Li 54b 11.56113787 16.96098867 0.90408185
26 Li 54b 11.56113787 16.96098867 5.88825151
27 Li 54b 0.00000000 4.24025565 0.00000000
28 Li 54b 0.00000000 4.24025565 4.98416967
29 Li 54b 0.00000000 4.24025565 9.96833933
30 Li 54b 0.00000000 12.72074998 0.00000000
31 Li 54b 0.00000000 12.72074998 4.98416967
32 Li 54b 0.00000000 12.72074998 9.96833933
33 Li 54b 0.00000000 21.20124431 0.00000000
34 Li 54b 0.00000000 21.20124431 4.98416967
35 Li 54b 0.00000000 21.20124431 9.96833933
36 Li 54b 4.62445330 4.24025565 -1.63203448
37 Li 54b 4.62445330 4.24025565 3.35213519
38 Li 54b 4.62445330 4.24025565 8.33630486
39 Li 54b 4.62445330 12.72074998 -1.63203448
40 Li 54b 4.62445330 12.72074998 3.35213519
41 Li 54b 4.62445330 12.72074998 8.33630486
42 Li 54b 4.62445330 21.20124431 -1.63203448
43 Li 54b 4.62445330 21.20124431 3.35213519
44 Li 54b 4.62445330 21.20124431 8.33630486
45 Li 54b 9.24890660 4.24025565 -3.26406895
46 Li 54b 9.24890660 4.24025565 1.72010072
47 Li 54b 9.24890660 4.24025565 6.70427038
48 Li 54b 9.24890660 12.72074998 -3.26406895
49 Li 54b 9.24890660 12.72074998 1.72010072
50 Li 54b 9.24890660 12.72074998 6.70427038
51 Li 54b 9.24890660 21.20124431 -3.26406895
52 Li 54b 9.24890660 21.20124431 1.72010072
53 Li 54b 9.24890660 21.20124431 6.70427038
54 Li 54c 2.31223127 4.24025565 1.67607095
55 Li 54c 2.31223127 4.24025565 6.66024061
56 Li 54c 2.31223127 4.24025565 11.64441028
57 Li 54c 2.31223127 12.72074998 1.67607095
58 Li 54c 2.31223127 12.72074998 6.66024061
59 Li 54c 2.31223127 12.72074998 11.64441028
60 Li 54c 2.31223127 21.20124431 1.67607095
61 Li 54c 2.31223127 21.20124431 6.66024061
62 Li 54c 2.31223127 21.20124431 11.64441028
63 Li 54c 6.93668457 4.24025565 0.04403647
64 Li 54c 6.93668457 4.24025565 5.02820614
65 Li 54c 6.93668457 4.24025565 10.01237581
66 Li 54c 6.93668457 12.72074998 0.04403647
67 Li 54c 6.93668457 12.72074998 5.02820614
68 Li 54c 6.93668457 12.72074998 10.01237581
69 Li 54c 6.93668457 21.20124431 0.04403647
70 Li 54c 6.93668457 21.20124431 5.02820614
71 Li 54c 6.93668457 21.20124431 10.01237581
72 Li 54c 11.56113787 4.24025565 -1.58799800
73 Li 54c 11.56113787 4.24025565 3.39617166
74 Li 54c 11.56113787 4.24025565 8.38034133
75 Li 54c 11.56113787 12.72074998 -1.58799800
76 Li 54c 11.56113787 12.72074998 3.39617166
77 Li 54c 11.56113787 12.72074998 8.38034133
78 Li 54c 11.56113787 21.20124431 -1.58799800
79 Li 54c 11.56113787 21.20124431 3.39617166
80 Li 54c 11.56113787 21.20124431 8.38034133
81 Li 54c 0.00000000 0.00000000 2.49208982
82 Li 54c 0.00000000 0.00000000 7.47625948
83 Li 54c 0.00000000 0.00000000 12.46042915
84 Li 54c 0.00000000 8.48049433 2.49208982
85 Li 54c 0.00000000 8.48049433 7.47625948
86 Li 54c 0.00000000 8.48049433 12.46042915
87 Li 54c 0.00000000 16.96098867 2.49208982
88 Li 54c 0.00000000 16.96098867 7.47625948
89 Li 54c 0.00000000 16.96098867 12.46042915
90 Li 54c 4.62445330 0.00000000 0.86005534
91 Li 54c 4.62445330 0.00000000 5.84422501
92 Li 54c 4.62445330 0.00000000 10.82839468
93 Li 54c 4.62445330 8.48049433 0.86005534
94 Li 54c 4.62445330 8.48049433 5.84422501
95 Li 54c 4.62445330 8.48049433 10.82839468
96 Li 54c 4.62445330 16.96098867 0.86005534
97 Li 54c 4.62445330 16.96098867 5.84422501
98 Li 54c 4.62445330 16.96098867 10.82839468
99 Li 54c 9.24890660 0.00000000 -0.77197913
100 Li 54c 9.24890660 0.00000000 4.21219053
101 Li 54c 9.24890660 0.00000000 9.19636020
102 Li 54c 9.24890660 8.48049433 -0.77197913
103 Li 54c 9.24890660 8.48049433 4.21219053
104 Li 54c 9.24890660 8.48049433 9.19636020
105 Li 54c 9.24890660 16.96098867 -0.77197913
106 Li 54c 9.24890660 16.96098867 4.21219053
107 Li 54c 9.24890660 16.96098867 9.19636020
108 Li 108h 2.31223127 7.11298070 1.67607095
109 Li 108h 2.31223127 7.11298070 6.66024061
110 Li 108h 2.31223127 7.11298070 11.64441028
111 Li 108h 2.31223127 15.59347503 1.67607095
112 Li 108h 2.31223127 15.59347503 6.66024061
113 Li 108h 2.31223127 15.59347503 11.64441028
114 Li 108h 2.31223127 24.07396937 1.67607095
115 Li 108h 2.31223127 24.07396937 6.66024061
116 Li 108h 2.31223127 24.07396937 11.64441028
117 Li 108h 6.93668457 7.11298070 0.04403647
118 Li 108h 6.93668457 7.11298070 5.02820614
119 Li 108h 6.93668457 7.11298070 10.01237581
120 Li 108h 6.93668457 15.59347503 0.04403647
121 Li 108h 6.93668457 15.59347503 5.02820614
122 Li 108h 6.93668457 15.59347503 10.01237581
123 Li 108h 6.93668457 24.07396937 0.04403647
124 Li 108h 6.93668457 24.07396937 5.02820614
125 Li 108h 6.93668457 24.07396937 10.01237581
126 Li 108h 11.56113787 7.11298070 -1.58799800
127 Li 108h 11.56113787 7.11298070 3.39617166
128 Li 108h 11.56113787 7.11298070 8.38034133
129 Li 108h 11.56113787 15.59347503 -1.58799800
130 Li 108h 11.56113787 15.59347503 3.39617166
131 Li 108h 11.56113787 15.59347503 8.38034133
132 Li 108h 11.56113787 24.07396937 -1.58799800
133 Li 108h 11.56113787 24.07396937 3.39617166
134 Li 108h 11.56113787 24.07396937 8.38034133
135 Li 108h 2.31223127 1.36750515 1.67607095
136 Li 108h 2.31223127 1.36750515 6.66024061
137 Li 108h 2.31223127 1.36750515 11.64441028
138 Li 108h 2.31223127 9.84799949 1.67607095
139 Li 108h 2.31223127 9.84799949 6.66024061
140 Li 108h 2.31223127 9.84799949 11.64441028
141 Li 108h 2.31223127 18.32849382 1.67607095
142 Li 108h 2.31223127 18.32849382 6.66024061
143 Li 108h 2.31223127 18.32849382 11.64441028
144 Li 108h 6.93668457 1.36750515 0.04403647
145 Li 108h 6.93668457 1.36750515 5.02820614
146 Li 108h 6.93668457 1.36750515 10.01237581
147 Li 108h 6.93668457 9.84799949 0.04403647
148 Li 108h 6.93668457 9.84799949 5.02820614
149 Li 108h 6.93668457 9.84799949 10.01237581
150 Li 108h 6.93668457 18.32849382 0.04403647
151 Li 108h 6.93668457 18.32849382 5.02820614
152 Li 108h 6.93668457 18.32849382 10.01237581
153 Li 108h 11.56113787 1.36750515 -1.58799800
154 Li 108h 11.56113787 1.36750515 3.39617166
155 Li 108h 11.56113787 1.36750515 8.38034133
156 Li 108h 11.56113787 9.84799949 -1.58799800
157 Li 108h 11.56113787 9.84799949 3.39617166
158 Li 108h 11.56113787 9.84799949 8.38034133
159 Li 108h 11.56113787 18.32849382 -1.58799800
160 Li 108h 11.56113787 18.32849382 3.39617166
161 Li 108h 11.56113787 18.32849382 8.38034133
162 Li 108h 0.00000000 2.87272505 2.49208982
163 Li 108h 0.00000000 2.87272505 7.47625948
164 Li 108h 0.00000000 2.87272505 12.46042915
165 Li 108h 0.00000000 11.35321939 2.49208982
166 Li 108h 0.00000000 11.35321939 7.47625948
167 Li 108h 0.00000000 11.35321939 12.46042915
168 Li 108h 0.00000000 19.83371372 2.49208982
169 Li 108h 0.00000000 19.83371372 7.47625948
170 Li 108h 0.00000000 19.83371372 12.46042915
171 Li 108h 4.62445330 2.87272505 0.86005534
172 Li 108h 4.62445330 2.87272505 5.84422501
173 Li 108h 4.62445330 2.87272505 10.82839468
174 Li 108h 4.62445330 11.35321939 0.86005534
175 Li 108h 4.62445330 11.35321939 5.84422501
176 Li 108h 4.62445330 11.35321939 10.82839468
177 Li 108h 4.62445330 19.83371372 0.86005534
178 Li 108h 4.62445330 19.83371372 5.84422501
179 Li 108h 4.62445330 19.83371372 10.82839468
180 Li 108h 9.24890660 2.87272505 -0.77197913
181 Li 108h 9.24890660 2.87272505 4.21219053
182 Li 108h 9.24890660 2.87272505 9.19636020
183 Li 108h 9.24890660 11.35321939 -0.77197913
184 Li 108h 9.24890660 11.35321939 4.21219053
185 Li 108h 9.24890660 11.35321939 9.19636020
186 Li 108h 9.24890660 19.83371372 -0.77197913
187 Li 108h 9.24890660 19.83371372 4.21219053
188 Li 108h 9.24890660 19.83371372 9.19636020
189 Li 108h 0.00000000 5.60776080 2.49208982
190 Li 108h 0.00000000 5.60776080 7.47625948
191 Li 108h 0.00000000 5.60776080 12.46042915
192 Li 108h 0.00000000 14.08825513 2.49208982
193 Li 108h 0.00000000 14.08825513 7.47625948
194 Li 108h 0.00000000 14.08825513 12.46042915
195 Li 108h 0.00000000 22.56874947 2.49208982
196 Li 108h 0.00000000 22.56874947 7.47625948
197 Li 108h 0.00000000 22.56874947 12.46042915
198 Li 108h 4.62445330 5.60776080 0.86005534
199 Li 108h 4.62445330 5.60776080 5.84422501
200 Li 108h 4.62445330 5.60776080 10.82839468
201 Li 108h 4.62445330 14.08825513 0.86005534
202 Li 108h 4.62445330 14.08825513 5.84422501
203 Li 108h 4.62445330 14.08825513 10.82839468
204 Li 108h 4.62445330 22.56874947 0.86005534
205 Li 108h 4.62445330 22.56874947 5.84422501
206 Li 108h 4.62445330 22.56874947 10.82839468
207 Li 108h 9.24890660 5.60776080 -0.77197913
208 Li 108h 9.24890660 5.60776080 4.21219053
209 Li 108h 9.24890660 5.60776080 9.19636020
210 Li 108h 9.24890660 14.08825513 -0.77197913
211 Li 108h 9.24890660 14.08825513 4.21219053
212 Li 108h 9.24890660 14.08825513 9.19636020
213 Li 108h 9.24890660 22.56874947 -0.77197913
214 Li 108h 9.24890660 22.56874947 4.21219053
215 Li 108h 9.24890660 22.56874947 9.19636020
216 Mn 108g 2.31223127 2.82308872 -0.81601887
217 Mn 108g 2.31223127 2.82308872 4.16815080
218 Mn 108g 2.31223127 2.82308872 9.15232046
219 Mn 108g 2.31223127 11.30358305 -0.81601887
220 Mn 108g 2.31223127 11.30358305 4.16815080
221 Mn 108g 2.31223127 11.30358305 9.15232046
222 Mn 108g 2.31223127 19.78407739 -0.81601887
223 Mn 108g 2.31223127 19.78407739 4.16815080
224 Mn 108g 2.31223127 19.78407739 9.15232046
225 Mn 108g 6.93668457 2.82308872 -2.44805334
226 Mn 108g 6.93668457 2.82308872 2.53611632
227 Mn 108g 6.93668457 2.82308872 7.52028599
228 Mn 108g 6.93668457 11.30358305 -2.44805334
229 Mn 108g 6.93668457 11.30358305 2.53611632
230 Mn 108g 6.93668457 11.30358305 7.52028599
231 Mn 108g 6.93668457 19.78407739 -2.44805334
232 Mn 108g 6.93668457 19.78407739 2.53611632
233 Mn 108g 6.93668457 19.78407739 7.52028599
234 Mn 108g 11.56113787 2.82308872 -4.08008782
235 Mn 108g 11.56113787 2.82308872 0.90408185
236 Mn 108g 11.56113787 2.82308872 5.88825151
237 Mn 108g 11.56113787 11.30358305 -4.08008782
238 Mn 108g 11.56113787 11.30358305 0.90408185
239 Mn 108g 11.56113787 11.30358305 5.88825151
240 Mn 108g 11.56113787 19.78407739 -4.08008782
241 Mn 108g 11.56113787 19.78407739 0.90408185
242 Mn 108g 11.56113787 19.78407739 5.88825151
243 Mn 108g 2.31223127 5.65739713 -0.81601887
244 Mn 108g 2.31223127 5.65739713 4.16815080
245 Mn 108g 2.31223127 5.65739713 9.15232046
246 Mn 108g 2.31223127 14.13789147 -0.81601887
247 Mn 108g 2.31223127 14.13789147 4.16815080
248 Mn 108g 2.31223127 14.13789147 9.15232046
249 Mn 108g 2.31223127 22.61838580 -0.81601887
250 Mn 108g 2.31223127 22.61838580 4.16815080
251 Mn 108g 2.31223127 22.61838580 9.15232046
252 Mn 108g 6.93668457 5.65739713 -2.44805334
253 Mn 108g 6.93668457 5.65739713 2.53611632
254 Mn 108g 6.93668457 5.65739713 7.52028599
255 Mn 108g 6.93668457 14.13789147 -2.44805334
256 Mn 108g 6.93668457 14.13789147 2.53611632
257 Mn 108g 6.93668457 14.13789147 7.52028599
258 Mn 108g 6.93668457 22.61838580 -2.44805334
259 Mn 108g 6.93668457 22.61838580 2.53611632
260 Mn 108g 6.93668457 22.61838580 7.52028599
261 Mn 108g 11.56113787 5.65739713 -4.08008782
262 Mn 108g 11.56113787 5.65739713 0.90408185
263 Mn 108g 11.56113787 5.65739713 5.88825151
264 Mn 108g 11.56113787 14.13789147 -4.08008782
265 Mn 108g 11.56113787 14.13789147 0.90408185
266 Mn 108g 11.56113787 14.13789147 5.88825151
267 Mn 108g 11.56113787 22.61838580 -4.08008782
268 Mn 108g 11.56113787 22.61838580 0.90408185
269 Mn 108g 11.56113787 22.61838580 5.88825151
270 Mn 108g 0.00000000 7.06334437 0.00000000
271 Mn 108g 0.00000000 7.06334437 4.98416967
272 Mn 108g 0.00000000 7.06334437 9.96833933
273 Mn 108g 0.00000000 15.54383870 0.00000000
274 Mn 108g 0.00000000 15.54383870 4.98416967
275 Mn 108g 0.00000000 15.54383870 9.96833933
276 Mn 108g 0.00000000 24.02433303 0.00000000
277 Mn 108g 0.00000000 24.02433303 4.98416967
278 Mn 108g 0.00000000 24.02433303 9.96833933
279 Mn 108g 4.62445330 7.06334437 -1.63203448
280 Mn 108g 4.62445330 7.06334437 3.35213519
281 Mn 108g 4.62445330 7.06334437 8.33630486
282 Mn 108g 4.62445330 15.54383870 -1.63203448
283 Mn 108g 4.62445330 15.54383870 3.35213519
284 Mn 108g 4.62445330 15.54383870 8.33630486
285 Mn 108g 4.62445330 24.02433303 -1.63203448
286 Mn 108g 4.62445330 24.02433303 3.35213519
287 Mn 108g 4.62445330 24.02433303 8.33630486
288 Mn 108g 9.24890660 7.06334437 -3.26406895
289 Mn 108g 9.24890660 7.06334437 1.72010072
290 Mn 108g 9.24890660 7.06334437 6.70427038
291 Mn 108g 9.24890660 15.54383870 -3.26406895
292 Mn 108g 9.24890660 15.54383870 1.72010072
293 Mn 108g 9.24890660 15.54383870 6.70427038
294 Mn 108g 9.24890660 24.02433303 -3.26406895
295 Mn 108g 9.24890660 24.02433303 1.72010072
296 Mn 108g 9.24890660 24.02433303 6.70427038
297 Mn 108g 0.00000000 1.41714149 0.00000000
298 Mn 108g 0.00000000 1.41714149 4.98416967
299 Mn 108g 0.00000000 1.41714149 9.96833933
300 Mn 108g 0.00000000 9.89763582 0.00000000
301 Mn 108g 0.00000000 9.89763582 4.98416967
302 Mn 108g 0.00000000 9.89763582 9.96833933
303 Mn 108g 0.00000000 18.37813015 0.00000000
304 Mn 108g 0.00000000 18.37813015 4.98416967
305 Mn 108g 0.00000000 18.37813015 9.96833933
306 Mn 108g 4.62445330 1.41714149 -1.63203448
307 Mn 108g 4.62445330 1.41714149 3.35213519
308 Mn 108g 4.62445330 1.41714149 8.33630486
309 Mn 108g 4.62445330 9.89763582 -1.63203448
310 Mn 108g 4.62445330 9.89763582 3.35213519
311 Mn 108g 4.62445330 9.89763582 8.33630486
312 Mn 108g 4.62445330 18.37813015 -1.63203448
313 Mn 108g 4.62445330 18.37813015 3.35213519
314 Mn 108g 4.62445330 18.37813015 8.33630486
315 Mn 108g 9.24890660 1.41714149 -3.26406895
316 Mn 108g 9.24890660 1.41714149 1.72010072
317 Mn 108g 9.24890660 1.41714149 6.70427038
318 Mn 108g 9.24890660 9.89763582 -3.26406895
319 Mn 108g 9.24890660 9.89763582 1.72010072
320 Mn 108g 9.24890660 9.89763582 6.70427038
321 Mn 108g 9.24890660 18.37813015 -3.26406895
322 Mn 108g 9.24890660 18.37813015 1.72010072
323 Mn 108g 9.24890660 18.37813015 6.70427038
